Id,Source,Translation,Comment
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,見張りのための居心地の良い場所。,
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,見晴らしのよい場所に設置しましょう。,
JWK-BuildItem-CommandPost,Command post,指揮所,
JWK-BuildItem-CommandPost_Description,Have an officer on site.,現地に将校を配置。,
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,現地にレジスタンス将校を配置できます。,
JWK-BuildItem-EquipmentStoreFOB,Equipment store,装備品店,
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,衣服と装備を購入できます。,
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,レジスタンスに属する制服やその他の装備へのアクセスを許可します。アイテムは物資を使用して購入されます。,
JWK-BuildItem-EquipmentStoreMOB,Equipment store,装備品店,
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,衣服と装備を購入できます。,
JWK-BuildItem-EquipmentStoreMOB_DescriptionLong,Gives access to uniforms and other equipment provided by the allied faction. Items are purchased using supplies.,友軍勢力が提供する制服やその他の装備へのアクセスが可能になります。アイテムは物資を使用して購入されます。,
JWK-BuildItem-FieldFuelStorage,Field fuel storage,野外燃料貯蔵庫,
JWK-BuildItem-FieldFuelStorage_Description,Store a large amount of fuel.,大量の燃料を貯蔵できます。,
JWK-BuildItem-FieldFuelStorage_DescriptionLong,"Stores 3000 litres of fuel, but cannot be used to refuel vehicles.",3000リットルの燃料を貯蔵できますが、車両への給油には使用できません。,
JWK-BuildItem-FieldGarageMedium,Medium Garage,中型ガレージ,
JWK-BuildItem-FieldGarageMedium_Description,Store 2 vehicles.,車両を2台保管できます。,
JWK-BuildItem-FieldGarageMedium_DescriptionLong,"Allows assigning two ground vehicles to prevent them from being lost, and enables retrieving them from far away.",2台の地上車両を割り当てて紛失を防ぎ、遠くからでも回収できるようになります。,
JWK-BuildItem-FieldGarageSmall,Small Garage,小型ガレージ,
JWK-BuildItem-FieldGarageSmall_Description,Store 1 vehicle.,車両を1台保管できます。,
JWK-BuildItem-FieldGarageSmall_DescriptionLong,"Allows assigning a single ground vehicle to prevent it from being lost, and enables retrieving it from far away.",地上車両を1台登録して消失を防ぎ、遠隔地から回収できるようにします。,
JWK-BuildItem-FiringPosition,Firing position,射撃陣地,
JWK-BuildItem-FiringPosition_Description,Prepare for unwanted guests.,招かれざる客に備えます。,
JWK-BuildItem-FiringPosition_DescriptionLong,Basic defence composition.,基本的な防御陣地です。,
JWK-BuildItem-FuelPoint,Fuel point,給油所,
JWK-BuildItem-FuelPoint_Description,Refuel vehicles.,車両に給油できます。,
JWK-BuildItem-FuelPoint_DescriptionLong,Allows to refuel ground vehicles.,地上車両に給油できます。,
JWK-BuildItem-GuardTower,Guard tower,監視塔,
JWK-BuildItem-GuardTower_Description,Get a better view.,周囲を見渡せます。,
JWK-BuildItem-Helipad,Helipad,ヘリパッド,
JWK-BuildItem-HelipadRepair,Service Helipad,整備用ヘリパッド,
JWK-BuildItem-HelipadRepair_Description,Repair helicopters.,ヘリコプターを修理できます。,
JWK-BuildItem-HelipadRepair_DescriptionLong,Service helipad allows to assign a single helicopter and enables helicopter refueling and repairing. Can be constructed only in airbases.,ヘリコプターを1機登録でき、給油と修理が可能になります。空軍基地にのみ建設できます。,
JWK-BuildItem-Helipad_Description,Store single helicopter.,ヘリコプターを1機格納できます。,
JWK-BuildItem-Helipad_DescriptionLong,"Helipad allows to assign a single helicopter, which protects it from being lost and enables retrieving it from far away. Basic version without refueling or repairing abilities.",ヘリコプターを1機登録して消失を防ぎ、遠隔地から回収できるようにします。給油・修理機能のない基本型です。,
JWK-BuildItem-LivingArea,Living area,居住区,
JWK-BuildItem-LivingArea_Description,Shelter recruits.,新兵の居住場所です。,
JWK-BuildItem-LivingArea_DescriptionLong,Provides living space for a few soldiers that can be recruited.,雇用可能な兵士数名分の居住スペースを提供します。,
JWK-BuildItem-MedicalTent,Medical tent,医療テント,
JWK-BuildItem-MedicalTent_Description,Heal wounds and recover faster.,負傷を治療し、回復を早めます。,
JWK-BuildItem-MedicalTent_DescriptionLong,Medical tent improves injury regeneration and allows to purchase medical goods using supplies.,負傷からの回復を早め、物資を使って医療アイテムを購入できるようにします。,
JWK-BuildItem-Mortar,Mortar,迫撃砲,
JWK-BuildItem-Mortar_Description,Send a message over long distance.,遠距離の敵に一発お見舞いします。,
JWK-BuildItem-Mortar_DescriptionLong,Complete mortar emplacement. Projectiles can be purchased using supplies.,迫撃砲陣地一式です。砲弾は物資で購入できます。,
JWK-BuildItem-StorageLarge,Large supplies storage,大型物資貯蔵庫,
JWK-BuildItem-StorageLarge-Description,Store 3000 supplies.,物資を3000保管できます。,
JWK-BuildItem-StorageLarge-DescriptionLong,Allows you to store 3000 supplies.,物資を3000保管できます。,
JWK-BuildItem-StorageMedium,Medium supplies storage,中型物資貯蔵庫,
JWK-BuildItem-StorageMedium-Description,Store 1500 supplies.,物資を1500保管できます。,
JWK-BuildItem-StorageMedium-DescriptionLong,Allows you to store 1500 supplies.,物資を1500保管できます。,
JWK-BuildItem-StorageSmall,Small supplies storage,小型物資貯蔵庫,
JWK-BuildItem-StorageSmall-Description,Store 700 supplies.,物資を700保管できます。,
JWK-BuildItem-StorageSmall-DescriptionLong,Allows you to store 700 supplies. First one can be constructed for free.,物資を700保管できます。最初の1棟は無料で建設できます。,
JWK-BuildItem-VehicleDepot,Vehicle Depot,車両基地,
JWK-BuildItem-VehicleDepot_Description,Procure vehicles.,車両を調達できます。,
JWK-BuildItem-VehicleDepot_DescriptionLong,Allows you to procure vehicles and store 1 vehicle.,車両を調達し、1台保管できます。,
JWK-BuildItem-VehicleRamp,Vehicle maintenance ramp,車両整備台,
JWK-BuildItem-VehicleRamp_Description,Repair vehicles.,車両を修理できます。,
JWK-BuildItem-VehicleRamp_DescriptionLong,Allows you to repair ground vehicles.,地上車両を修理できます。,
JWK-BuildUI-Cost,Cost:,コスト：,
JWK-BuildUI-Title,Build,建築,
JWK-CTA-ConstructionMenu,Construction menu,建設メニュー,
JWK-CTA-HideoutResupply,Resupply hideout,隠れ家に補給,
JWK-CTA-HideoutTakeSupplies,Take hideout supplies,隠れ家から物資を取る,
JWK-CTA-ManageVehicles,Manage vehicles,車両を管理,
JWK-CTA-OpenMenu,Freedom Fighters,Freedom Fighters,
JWK-CTA-ParkVehicle,Park vehicle,車両を駐車,
JWK-CTA-Radio,Use radio,無線機を使う,
JWK-CTA-TimeToWithstand,Withstand...,持ちこたえる…,
JWK-CTA-TownDonateSupplies,Donate supplies to civilians,民間人に物資を寄付,
JWK-CharacterMenu,Character Menu,キャラクターメニュー,
JWK-CharacterUI-Age,Age,年齢,
JWK-CharacterUI-Birthday,Birthday,誕生日,
JWK-CharacterUI-Birthplace,Birthplace,出身地,
JWK-CharacterUI-BloodType,Blood type,血液型,
JWK-CharacterUI-CharacterWanted,Wanted dead or alive.,生死を問わず指名手配中。,
JWK-CharacterUI-Title,Profile,プロフィール,
JWK-CharacterUI-VehicleWanted,Uses a wanted vehicle.,指名手配車両を使用中。,
JWK-ConsoleUI-BackToMenu,Back to menu,メニューに戻る,
JWK-ConsoleUI-Text,"Due to missing modding features, the single player and local hosting experience is unavailable on console systems. We suggest setting up a private dedicated server or joining a public one.",MOD機能の制約により、コンソール版ではシングルプレイとローカルホストを利用できません。非公開の専用サーバーを用意するか、公開サーバーに参加してください。,
JWK-ConsoleUI-Title,Unavailable on consoles,コンソール版では利用不可,
JWK-ConstructUI-Title,Construct,建設,
JWK-ConvoAction-Convert,Convince to support,支持を求める,
JWK-ConvoAction-Extort,Extort money,金を脅し取る,
JWK-ConvoChoice-AskHideoutLocation,Ask for a meeting,会う場所を尋ねる,
JWK-ConvoChoice-AskJob,Ask for a job,仕事がないか尋ねる,
JWK-ConvoChoice-Confirm,Confirm,決定,
JWK-ConvoChoice-FollowMe,Ask to follow,同行を頼む,
JWK-ConvoChoice-GetPoster,Ask for posters,ポスターを頼む,
JWK-ConvoChoice-Liberate,Liberate,解放,
JWK-ConvoChoice-ReportBack,Report back,報告,
JWK-ConvoChoice-ReportResistance,Report resistance activity,レジスタンスの活動を通報,
JWK-ConvoChoice-RequestReinforcements,Reinforcements,増援,
JWK-ConvoChoice-RequestSupport,Request support,支援を要請,
JWK-ConvoChoice-ResignJob,Resign from a job,仕事を断念,
JWK-ConvoChoice-StopFollowing,Ask to stay,ここで待つよう頼む,
JWK-ConvoChoice-Trade,Trade,取引,
JWK-ConvoChoice-TurnDogtags,Turn in dogtags,ドッグタグを提出,
JWK-DialogUI-AddonConflictWarning-Message,Detected following addons that are known to conflict with Freedom Fighters.,Freedom Fightersと競合する既知のアドオンが検出されました。,
JWK-DialogUI-AddonConflictWarning-MessageClient,Unexpected gameplay bugs can occur while playing on this server.,このサーバーでプレイすると、予期しない不具合が発生する可能性があります。,
JWK-DialogUI-AddonConflictWarning-MessageOwner,Consider unloading them to ensure a bug-free experience.,不具合を避けるため、該当するアドオンを無効にすることを検討してください。,
JWK-DialogUI-AddonConflictWarning-Title,Addons conflict,アドオンの競合,
JWK-DialogUI-DestructionResetInfo-Message,"Restored objects may collide with constructions or vehicles left in place of destroyed objects, causing undesired effects. This is an experimental feature and it is recommended to back up your save.<br/><br/>Once you confirm this action, you have to force save and restart the server for the changes to take effect.",復元したオブジェクトが、破壊前の位置に残された建造物や車両と重なり、予期しない問題を起こす可能性があります。この機能は実験段階のため、事前にセーブデータをバックアップしてください。<br/><br/>確定後、変更を反映するには強制セーブを実行してサーバーを再起動する必要があります。,
JWK-DialogUI-DestructionResetInfo-Title,Destruction reset,破壊リセット,
JWK-DialogUI-OnlineForceSave-Message,"Forced save will perform entire save in a single operation, which may block the server on large maps and with a lot of data. This may cause remote players, including you, to lose connection. This does not affect the save operation itself.",強制セーブでは、すべてのデータを一度に保存します。大規模なマップやデータ量が多い場合はサーバーが一時停止し、自分を含むリモートプレイヤーの接続が切れる可能性があります。セーブ処理自体には影響しません。,
JWK-DialogUI-OnlineForceSave-Title,Online session warning,オンラインセッションの警告,
JWK-DialogUI-OnlineReset-Message,"Are you sure to wipe the campaign save data? After proceeding the scenario will automatically restart.<br/><br/><b><color rgba='255,0,0,255'>WARNING: THIS OPERATION CANNOT BE REVERTED. YOU WILL LOSE ALL PROGRESS.</color></b>","キャンペーンのセーブデータを消去しますか？ 続行するとシナリオが自動的に再起動します。<br/><br/><b><color rgba='255,0,0,255'>警告：この操作は元に戻せません。すべての進行状況が失われます。</color></b>",
JWK-DialogUI-OnlineReset-Title,Wipe warning,データ消去の警告,
JWK-DialogUI-SettingsImport-Failed,Your clipboard does not contain valid settings.,クリップボードには有効な設定が含まれていません。,
JWK-DifficultyPreset-Custom,Custom,Custom,
JWK-DifficultyPreset-Easy,Easy,Easy,
JWK-DifficultyPreset-Extreme,Extreme,Extreme,
JWK-DifficultyPreset-Hard,Hard,Hard,
JWK-DifficultyPreset-Normal,Normal,Normal,
JWK-Dogtag_Description,Used to identify dead bodies found on the battlefield.,戦場の遺体を識別するための認識票。,
JWK-Dogtag_Name_Dynamic,%1 dogtags,%1 個のドッグタグ,
JWK-Dogtag_Name_Universal,Dogtags,ドッグタグ,
JWK-EHint-ClothesBloodied,Your clothes are bloodied. Wearing them breaks your disguise and makes you attract enemy attention. You should change your clothes or go for a swim.,衣服が血で汚れています。着用すると変装が解け、敵の注意を引きます。着替えるか、水中に入って汚れを落としてください。,
JWK-EHint-ClothesCleaned,Your clothes have been cleaned. Wearing them will not make you suspicious anymore.,衣服の血を洗い落としました。着用しても怪しまれません。,
JWK-EHint-Combatant,"You will be treated as a combatant when openly carrying weapons or wearing combatant attire. Watch out, as you may become wanted if enemies see you.",公然と武器を携行したり戦闘服を着たりした場合、戦闘員として扱われます。敵に見つかると指名手配される可能性があるので注意してください。,
JWK-EHint-Wanted,You are now wanted by the enemy. Hide in a safe place and remain out of sight for some time to lose the heat.,敵から指名手配されました。安全な場所に隠れ、しばらく姿を見られずにいれば手配度が下がります。,
JWK-EditSignUI-Text,Text,文字,
JWK-EditSignUI-TextColor,Text color,文字色,
JWK-EditSignUI-TextSize,Text size,文字サイズ,
JWK-EditSignUI-Title,Edit Sign,看板を編集,
JWK-EditorAttrib-Heat,Heat level,手配度,
JWK-EditorAttrib-HeatDescription,Set to 0% to remove wanted status.,0%に設定すると指名手配状態を解除します。,
JWK-EditorAttrib-LockState,Locked,施錠済み,
JWK-EditorAttrib-Money,Money,資金,
JWK-EndGameUI-GameOver,Defeat,Defeat,
JWK-EndGameUI-GameOverDescription,"Despite best efforts and heroic fight, %1 has failed to liberate %2. %3 forces are here to stay for a long time. Next time pay more attention to population support and logistics of your revolution. No military effort in history succeeded without these elements.",最善を尽くして勇敢に戦いましたが、%1は%2の解放に失敗しました。%3軍による支配は今後も長く続くでしょう。次は住民の支持と革命軍の兵站をより重視してください。歴史上、この二つを欠いて成功した軍事行動はありません。,
JWK-EndGameUI-VictoryDescription,"Great job! Thanks to the relentless effort made by %1, the population of %2 will no longer be opressed by %3 forces. These heroic acts will be remembered by many generations to come.",%1の絶え間ない奮闘により、%2の人々は%3軍の支配から解放されました。その英雄的な行いは、後世まで語り継がれるでしょう。,
JWK-EndGameUI-VictoryTitle,Victory,Victory,
JWK-EpinephrineInfoWidget-Name,Use this to wake up incapacitated persons. Can be also self administered.,行動不能者を蘇生します。自分にも使用できます。,
JWK-EpinephrineItem-Desc,One time use injector with a dose of epinephrine.,エピネフリンを1回分充填した使い捨て注射器。,
JWK-EpinephrineItem-Name,Epinephrine,エピネフリン,
JWK-Everon-Airport,Airport,空港,
JWK-Everon-Barracks,Barracks,兵舎,
JWK-Everon-CementPlant,Cement Plant,セメント工場,
JWK-Everon-ChotainFarm,Chotain Farm,Chotain農場,
JWK-Everon-ConcretePlant,Concrete Plant,コンクリート工場,
JWK-Everon-EtoupeFarm,Etoupe Farm,エトゥープ農園,
JWK-Everon-FieldHospital,Field Hospital,野戦病院,
JWK-Everon-Headquarters,Headquarters,本部,
JWK-Everon-LeMouleSawmill,Le Moule Sawmill,ル・ムール製材所,
JWK-Everon-LogisticsWarehouse,Logistics Warehouse,物流倉庫,
JWK-Everon-MontignacFactory,Montignac Factory,モンティニャック工場,
JWK-Everon-MontignacFarm,Montignac Farm,モンティニャック農園,
JWK-Everon-PowerPlant,Power Plant,発電所,
JWK-Everon-Quarry,Quarry,採石場,
JWK-Everon-ReginaSawmill,Regina Sawmill,レジーナ製材所,
JWK-Everon-TrainingGrounds,Training Grounds,訓練場,
JWK-Everon-VDAlmaraFactory,VD Almara Factory,VD アルマラ工場,
JWK-FM-Bases-Armories-06dedf77-Differenttypesof,"Different types of armories can be built, depending on the operating base type:<br/>- <b>Allied armory</b> is available at <b>military bases</b> and offers weapons and ammunition of your supporting faction.<br/>- <b>Field armory</b> is available at <b>FOBs</b> and offers weapons and ammunition of the player faction.",作戦基地の種類に応じて、建設できる武器庫が異なります。<br/>- <b>友軍武器庫</b>は<b>軍事基地</b>に建設でき、友軍勢力の武器と弾薬を扱います。<br/>- <b>野戦武器庫</b>は<b>FOB</b>に建設でき、プレイヤー勢力の武器と弾薬を扱います。,
JWK-FM-Bases-Armories-3345caf7-Armoriesallowthe,Armories allow the purchase of weapons and ammunition using resources stored at the base.,武器庫では、基地に保管されている物資を使用して武器や弾薬を購入できます。,
JWK-FM-Bases-Armories-5ab7756b-Onlyonearmorycan,Only one armory can be built per location.,武器庫は 1 つの場所に 1 つだけ建設できます。,
JWK-FM-Bases-Armories-Title,Armories,武器庫,
JWK-FM-Bases-Commandposts-1d12a9f5-Onlyonecommandpo,Only one command post can be built per location.,1 つの場所に建設できる指揮所は 1 つだけです。,
JWK-FM-Bases-Commandposts-8bb1df98-Commandpostenabl,"Command post enables you to have a <b>resistance officer</b> on site, allowing you to hand in dogtags, take posters or missions in your operating base, without the need to travel to a hideout.",指揮所を建設すると、現地に<b>レジスタンス将校</b>が配置されます。隠れ家へ移動しなくても、作戦基地でドッグタグの提出、ポスターの受け取り、任務の受注ができます。,
JWK-FM-Bases-Commandposts-Title,Command posts,指揮所,
JWK-FM-Bases-Equipmentstores-15a94709-Onlyoneequipment,Only one equipment store can be built per location.,各地点に建設できる装備品店は1軒だけです。,
JWK-FM-Bases-Equipmentstores-234eb810-Differenttypesof,"Different types of stores can be built, depending on the operating base type:",作戦基地のタイプに応じて、さまざまなタイプの店舗を構築できます。,
JWK-FM-Bases-Equipmentstores-25aa81fd-Alliedequipments,- <b>Allied equipment</b> store is available at <b>military bases</b> and offers equipment of your supporting faction.<br/>- <b>Field equipment</b> store is available at <b>FOBs</b> and offers equipment of the player faction.,- <b>友軍装備品店</b>は<b>軍事基地</b>に建設でき、友軍勢力の装備を扱います。<br/>- <b>野戦装備品店</b>は<b>FOB</b>に建設でき、プレイヤー勢力の装備を扱います。,
JWK-FM-Bases-Equipmentstores-Title,Equipment stores,装備品店,
JWK-FM-Bases-Equipmentstores-d8a71344-Equipmentstoresa,Equipment stores allow you to purchase uniforms and non-lethal equipment using resources stored at the base.,装備品店では、基地に保管されている物資を使用して制服や非致死装備を購入できます。,
JWK-FM-Bases-Garages-146a4e35-Somegaragefacili,"Some garage facilities enable <b>vehicle procurement</b>, which can be accessed from the garage management interface.",一部のガレージ施設では、ガレージ管理画面から<b>車両調達</b>を利用できます。,
JWK-FM-Bases-Garages-7fa445f9-Toassignavehicle,"To assign a vehicle, you have the park it in the spot, come to a full stop and select the relevant option from the <b>radial menu</b>. Your vehicle must fit into the spot and have a matching type - for example, you can't assign a car to a helipad. You will see an on-screen prompt when the option is available.",車両を登録するには、駐車スペース内で完全に停止し、<b>ラジアルメニュー</b>から該当する項目を選びます。車両の種類と大きさが駐車スペースに適合している必要があります。たとえば、自動車をヘリパッドには登録できません。登録可能になると、画面に操作案内が表示されます。,
JWK-FM-Bases-Garages-Title,Garages,ガレージ,
JWK-FM-Bases-Garages-b53ad449-Sometypesofgarag,"Some types of garages can be constructed, but you can also find existing garage buildings in captured locations. All types of garages are marked on the map with a parking icon.",ガレージは建設できるほか、制圧した地点に既設のものが見つかる場合もあります。すべてのガレージは、マップ上に駐車アイコンで表示されます。,
JWK-FM-Bases-Garages-bf4454ea-Torecoveravehicl,"To recover a vehicle, you have to interact with a parking spot sign, always found somewhere near the spot. Be mindful, as the recovery will cost you money and/or resources, depending on the distance the vehicle is transported over. You also need to ensure the spot is not obstructed. You can also abandon the vehicle in the same interface, if you want to free up the spot.",車両を回収するには、駐車スペース付近の看板を操作します。回収には、車両の輸送距離に応じて資金や物資が必要です。駐車スペースが塞がれていないことも確認してください。同じ画面から車両を放棄し、登録枠を空けることもできます。,
JWK-FM-Bases-Garages-f2449fb2-Garagesallowyout,"Garages allow you to assign vehicles to one or more parking spots. Assigning a vehicle enables to recover it from afar and protects it from despawning, which is very useful if you lose your vehicle, for example because of a sudden death.",ガレージには、1台以上の車両を駐車スペースへ登録できます。登録した車両はデスポーンせず、離れた場所から回収できます。死亡などで車両を失った場合に役立ちます。,
JWK-FM-Bases-Helipads-4c0655af-Additionallytore,"Additionally to regular helipads, military bases allow to construct a <b>service helipad</b>, which can be used to repair and rearm helicopters.",通常のヘリパッドに加えて、軍事基地ではヘリコプターの修理や再武装に使用できる<b>整備用ヘリパッド</b>の建設が許可されています。,
JWK-FM-Bases-Helipads-6d36d2ee-Helipadsofferasi,"Helipads offer a single parking spot to which helicopters can be assigned, and otherwise they are identical in functionality to garages.",ヘリパッドは、ヘリコプターを割り当てられる単一の駐車スポットを提供します。それ以外の機能はガレージと同じです。,
JWK-FM-Bases-Helipads-Title,Helipads,ヘリパッド,
JWK-FM-Bases-Medicaltents-5c66037a-Medicaltentsoffe,"Medical tents offer faster regeneration for <b>freedom fighters</b> residing inside. They are also a source for medical items such as bandages or epinephrine, which can be obtained by spending resources at the tent.",医療用テントでは、滞在中の<b>レジスタンス兵</b>が通常より早く回復します。また、物資を消費して包帯やエピネフリンなどの医療アイテムを入手できます。,
JWK-FM-Bases-Medicaltents-Title,Medical tents,医療テント,
JWK-FM-Bases-Operatingbases-118e8b9d-FOBsarefieldbase,"FOBs are field bases and as such, offer fewer capabilities than <b>military bases</b>, and their armory and equipment assortment is limited to resistance assets. However, they can be established very early, before the resistance is strong enough to overtake a military base, and/or may be placed in very advantageous locations.",FOBは野戦基地のため、<b>軍事基地</b>より機能が少なく、武器庫や装備品店ではレジスタンスの装備だけを扱います。一方、軍事基地を制圧できる戦力が整う前から設置でき、戦略上有利な場所を自由に選べます。,
JWK-FM-Bases-Operatingbases-1aa99fda-ForwardOperating,Forward Operating Bases,前線作戦基地（FOB）,
JWK-FM-Bases-Operatingbases-202a74c5-Militarybasesare,"<b>Military bases</b> are existing locations in the world, controlled by the enemy. After they are taken over, they can be used as <b>operating bases</b>.",<b>軍事基地</b>は、敵によって管理されている世界の既存の場所です。占領後は<b>作戦基地</b>として利用可能です。,
JWK-FM-Bases-Operatingbases-2ffe51ca-FOBscanbeestabli,"FOBs can be established by resistance members using the entrenchment tool, via the placement menu. They need to be placed at a sufficient distance from enemy-controlled facilities, towns and other points of interest. You can use <b>FOB Placement</b> map tool to plan the location in advance.",レジスタンス兵は、塹壕構築ツールを装備して配置メニューを開くとFOBを設置できます。敵施設、町、その他の重要地点から十分に離す必要があります。<b>FOB配置</b>マップツールを使えば、設置可能な場所を事前に確認できます。,
JWK-FM-Bases-Operatingbases-6b95ccef-Militarybases,Military bases,軍事基地,
JWK-FM-Bases-Operatingbases-849cfd95-Theyaresomewhatc,"They are somewhat complementary to <b>FOBs</b>, as they offer more possibilities at the cost of their fixed placement. Fighters will find here regular army equipment of the <b>allied forces</b> and more construction options.",軍事基地は設置場所を選べない代わりに、<b>FOB</b>より多くの機能を備えています。<b>友軍</b>の正規軍装備を利用でき、建設できる施設も増えます。,
JWK-FM-Bases-Operatingbases-Title,Operating bases,作戦基地,
JWK-FM-Bases-Operatingbases-b1d88111-Therearetwotypes,"There are two types of operating bases, as described below.",作戦基地には以下の 2 種類があります。,
JWK-FM-Bases-Operatingbases-c2aae2f7-Operatingbasesar,"Operating bases are locations in which resistance members can construct buildings and fortifications, store resources, operate garages, repair and refuel vehicles, and more. If enough resources are stored, an operating base may be used as a <b>respawn location</b>.",作戦基地では、建物や防御設備の建設、物資の保管、ガレージの運用、車両の修理・給油などを行えます。十分な物資があれば、<b>リスポーン地点</b>としても利用できます。,
